locid;code;name;surface_m2;total_surface
3216;11;Zone for residential use (Wohnzone);1102439;1725456
3216;12;Zone for commercial and industrial use (Gewerbe und Industrie);88679;1725456
3216;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);232478;1725456
3216;15;Zone for public buildings ;227147;1725456
3216;16;eingeschränkte Bauzonen;74412;1725456
3216;17;Tourism and leisure zone (Tourismus und FreizeitZone);301;1725456
3217;11;Zone for residential use (Wohnzone);323555;1094664
3217;12;Zone for commercial and industrial use (Gewerbe und Industrie);271620;1094664
3217;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);114395;1094664
3217;14;Core zone development (Kernzone Entwicklung);134025;1094664
3217;15;Zone for public buildings ;185163;1094664
3217;17;Tourism and leisure zone (Tourismus und FreizeitZone);65906;1094664
3218;11;Zone for residential use (Wohnzone);200617;582242
3218;12;Zone for commercial and industrial use (Gewerbe und Industrie);137858;582242
3218;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);41072;582242
3218;14;Core zone development (Kernzone Entwicklung);28846;582242
3218;15;Zone for public buildings ;135052;582242
3218;16;eingeschränkte Bauzonen;11871;582242
3218;17;Tourism and leisure zone (Tourismus und FreizeitZone);26926;582242
3219;11;Zone for residential use (Wohnzone);124062;252823
3219;12;Zone for commercial and industrial use (Gewerbe und Industrie);24989;252823
3219;14;Core zone development (Kernzone Entwicklung);70104;252823
3219;15;Zone for public buildings ;19171;252823
3219;16;eingeschränkte Bauzonen;14497;252823
3231;11;Zone for residential use (Wohnzone);925759;2181676
3231;12;Zone for commercial and industrial use (Gewerbe und Industrie);355704;2181676
3231;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);422270;2181676
3231;14;Core zone development (Kernzone Entwicklung);143040;2181676
3231;15;Zone for public buildings ;307921;2181676
3231;16;eingeschränkte Bauzonen;26674;2181676
3231;17;Tourism and leisure zone (Tourismus und FreizeitZone);308;2181676
3232;11;Zone for residential use (Wohnzone);809873;1511772
3232;12;Zone for commercial and industrial use (Gewerbe und Industrie);208331;1511772
3232;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);244134;1511772
3232;14;Core zone development (Kernzone Entwicklung);60353;1511772
3232;15;Zone for public buildings ;136148;1511772
3232;16;eingeschränkte Bauzonen;18748;1511772
3232;17;Tourism and leisure zone (Tourismus und FreizeitZone);34185;1511772
3233;11;Zone for residential use (Wohnzone);621360;1255946
3233;12;Zone for commercial and industrial use (Gewerbe und Industrie);202060;1255946
3233;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);277858;1255946
3233;14;Core zone development (Kernzone Entwicklung);36939;1255946
